Data,Hora,Tipo,Valor,Saldo do Dia
28/03/2026,21:01,Pix recebido,5.00,438.27
28/03/2026,21:01,Pix recebido,5.00,438.27
28/03/2026,19:29,Pix enviado,-82.47,438.27
27/03/2026,21:05,Pix recebido,7.50,510.74
27/03/2026,21:04,Pix recebido,5.00,510.74
25/03/2026,21:05,Pix recebido,50.00,498.24
25/03/2026,21:04,Pix recebido,4.00,498.24
24/03/2026,21:05,Pix recebido,7.50,444.24
24/03/2026,21:02,Pix recebido,6.00,444.24
24/03/2026,20:16,Pix enviado,-34.00,444.24
23/03/2026,21:06,Pix recebido,20.00,464.74
23/03/2026,20:59,Pix recebido,5.94,464.74
21/03/2026,21:05,Pix recebido,7.99,438.80
21/03/2026,21:04,Pix recebido,50.00,438.80
21/03/2026,21:04,Pix recebido,2.50,438.80
21/03/2026,21:04,Pix recebido,5.00,438.80
20/03/2026,21:05,Pix recebido,2.00,373.31
20/03/2026,21:05,Pix recebido,7.50,373.31
20/03/2026,21:04,Pix recebido,10.00,373.31
20/03/2026,21:03,Pix recebido,5.00,373.31
18/03/2026,21:17,Pix recebido,10.00,348.81
16/03/2026,20:58,Pix recebido,5.00,338.81
16/03/2026,20:58,Pix recebido,20.00,338.81
16/03/2026,20:57,Pix recebido,30.00,338.81
15/03/2026,09:50,Pix enviado,-86.97,283.81
13/03/2026,21:25,Pix recebido,110.50,370.78
13/03/2026,21:13,Pix recebido,10.00,370.78
13/03/2026,21:02,Pix recebido,7.10,370.78
13/03/2026,20:41,Pix enviado,-400.00,370.78
11/03/2026,21:04,Pix recebido,5.00,643.18
10/03/2026,21:08,Pix recebido,5.00,638.18
10/03/2026,21:05,Pix recebido,5.00,638.18
10/03/2026,21:05,Pix recebido,20.00,638.18
10/03/2026,21:05,Pix recebido,5.00,638.18
10/03/2026,21:04,Pix recebido,10.00,638.18
09/03/2026,21:01,Pix recebido,5.00,593.18
07/03/2026,21:06,Pix recebido,50.00,588.18
07/03/2026,21:03,Pix recebido,5.00,588.18
06/03/2026,21:13,Pix recebido,10.00,533.18
06/03/2026,21:02,Pix recebido,50.00,533.18
06/03/2026,21:01,Pix recebido,5.00,533.18
04/03/2026,21:06,Pix recebido,10.00,468.18
03/03/2026,21:11,Pix recebido,20.00,458.18
03/03/2026,21:10,Pix recebido,50.00,458.18
02/03/2026,21:15,Pix recebido,6.00,388.18
02/03/2026,21:15,Pix recebido,5.00,388.18
02/03/2026,21:14,Pix recebido,20.00,388.18
02/03/2026,21:14,Pix recebido,20.00,388.18
